Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SIM LIM SQUARE,1 Rochor Canal Road  #03-49 ,29,Strata,668000,23034,2140,12-APR-2012,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
THOMSON V ONE,9 Sin Ming Road  #01-01 ,10,Strata,308000,30800,2861,11-APR-2012,Retail,99 Yrs From 08/05/2001,Resale,20,57,575630,Central Region,Bishan
THOMSON V ONE,9 Sin Ming Road  #01-02 ,69,Strata,1425000,20652,1919,09-APR-2012,Retail,99 Yrs From 08/05/2001,Resale,20,57,575630,Central Region,Bishan
HILLVIEW REGENCY,26 Bukit Batok East Avenue 2  #02-03 ,13,Strata,265000,20385,1894,08-APR-2012,Retail,99 Yrs From 20/06/2000,Resale,23,65,659920,West Region,Bukit Batok
EASTWOOD CENTRE,20 Eastwood Road  #01-03 ,213,Strata,3450000,16197,1505,05-APR-2012,Retail,99 Yrs From 06/11/1995,Resale,16,48,486442,East Region,Bedok
TEXTILE CENTRE,200 Jalan Sultan  #04-22 ,23,Strata,265000,11522,1070,05-APR-2012,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #06-57 ,47,Strata,1300000,27660,2570,05-APR-2012,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SULTAN PLAZA,100 Jalan Sultan  #04-10 ,42,Strata,430000,10238,951,02-APR-2012,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #B1-47 ,28,Strata,850000,30357,2820,02-APR-2012,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
GOLDEN MILE TOWER,6001 Beach Road  #02-64 ,31,Strata,295000,9516,884,30-MAR-2012,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
PEOPLE'S PARK COMPLEX,1 Park Road  #03-24 ,29,Strata,730000,25172,2339,29-MAR-2012,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
ORCHARD PLAZA,150 Orchard Road  #02-08 ,32,Strata,980000,30625,2845,28-MAR-2012,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
TEXTILE CENTRE,200 Jalan Sultan  #01-18 ,129,Strata,1600000,12403,1152,28-MAR-2012,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
SINGAPORE SHOPPING CENTRE,190 Clemenceau Avenue  #05-01 ,53,Strata,500000,9434,876,23-MAR-2012,Retail,99 Yrs From 01/05/1948,Resale,09,23,239924,Central Region,Museum
THE RIVERWALK,20 Upper Circular Road  #01-10 ,31,Strata,600000,19355,1798,23-MAR-2012,Retail,99 Yrs From 15/12/1980,Resale,01,05,058416,Central Region,Singapore River
HIGH STREET CENTRE,1 North Bridge Road  #01-21 ,25,Strata,480000,19200,1784,22-MAR-2012,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
SEASTRAND,11 Pasir Ris Link  #01-49 ,64,Strata,1230000,19219,1785,22-MAR-2012,Retail,99 Yrs From 03/01/2011,New Sale,18,51,518180,East Region,Pasir Ris
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #02-79 ,61,Strata,1398880,22932,2130,22-MAR-2012,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
FU LU SHOU COMPLEX,149 Rochor Road  #03-14 ,44,Strata,950000,21591,2006,21-MAR-2012,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
SULTAN PLAZA,100 Jalan Sultan  #03-06 ,53,Strata,517500,9764,907,19-MAR-2012,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
